id,filename,category,text
airport_checkin_001_turn_1,scenarios/airport_checkin_001/turn_1.mp3,scenario,"Good morning, sir. May I see your passport and booking reference, please?"
airport_checkin_001_turn_3,scenarios/airport_checkin_001/turn_3.mp3,scenario,"Thank you, Mr. Lewis. I can see you're on flight BA678 to London Heathrow, departing at 10:45. Would you like a window or aisle seat?"
airport_checkin_001_turn_5,scenarios/airport_checkin_001/turn_5.mp3,scenario,"Certainly. I've allocated you seat 14A, which is by the window. Are you checking in any luggage today?"
airport_checkin_001_turn_7,scenarios/airport_checkin_001/turn_7.mp3,scenario,"Perfect. Please place it on the belt. Your allowance is 23 kilograms. It weighs 19.5 kilograms, so that's fine. Here's your boarding pass. Boarding starts at 10:15 from Gate B24. Have a pleasant flight."
passport_control_001_turn_1,scenarios/passport_control_001/turn_1.mp3,scenario,"Good afternoon. Passport, please. What is the purpose of your visit to the United Kingdom?"
passport_control_001_turn_3,scenarios/passport_control_001/turn_3.mp3,scenario,"I see. And how long are you planning to stay in the UK?"
passport_control_001_turn_5,scenarios/passport_control_001/turn_5.mp3,scenario,"Where will you be staying during your visit?"
passport_control_001_turn_7,scenarios/passport_control_001/turn_7.mp3,scenario,"And what company do you work for?"
passport_control_001_turn_9,scenarios/passport_control_001/turn_9.mp3,scenario,"Is this your first visit to the UK?"
passport_control_001_turn_11,scenarios/passport_control_001/turn_11.mp3,scenario,"Very well. Do you have anything to declare? Any goods over the duty-free allowance?"
passport_control_001_turn_13,scenarios/passport_control_001/turn_13.mp3,scenario,"That's fine. Welcome to the United Kingdom. Enjoy your stay."
airport_security_001_turn_1,scenarios/airport_security_001/turn_1.mp3,scenario,"Please remove your laptop and any liquids from your bag. Place them in a separate tray."
airport_security_001_turn_3,scenarios/airport_security_001/turn_3.mp3,scenario,"Is this your bag, sir? We need to check it. There seems to be something metallic inside."
airport_security_001_turn_5,scenarios/airport_security_001/turn_5.mp3,scenario,"Ah yes, it's a power bank. That's fine. You're all clear. Have a good flight."
business_meeting_001_turn_1,scenarios/business_meeting_001/turn_1.mp3,scenario,"Good afternoon. You must be from STU Trailer. Please, take a seat. We're looking forward to hearing about your products."
business_meeting_001_turn_3,scenarios/business_meeting_001/turn_3.mp3,scenario,"Excellent. So, what can you tell us about your concrete mixer range?"
business_meeting_001_turn_5,scenarios/business_meeting_001/turn_5.mp3,scenario,"That's interesting. What's the drum rotation speed, and what kind of discharge rate can we expect?"
business_meeting_001_turn_7,scenarios/business_meeting_001/turn_7.mp3,scenario,"Very good. And what about the hydraulic system? Is it compatible with standard European truck connections?"
business_meeting_001_turn_9,scenarios/business_meeting_001/turn_9.mp3,scenario,"Excellent. That all sounds very promising. Could you send us a detailed quotation by next Friday?"
factory_visit_001_turn_1,scenarios/factory_visit_001/turn_1.mp3,scenario,"Good morning! Thank you for the invitation to visit your facility. I've been looking forward to seeing your production process."
factory_visit_001_turn_3,scenarios/factory_visit_001/turn_3.mp3,scenario,"This is impressive. Can you tell me about this welding station? What process do you use?"
factory_visit_001_turn_5,scenarios/factory_visit_001/turn_5.mp3,scenario,"I see. And what quality control measures do you have in place?"
factory_visit_001_turn_7,scenarios/factory_visit_001/turn_7.mp3,scenario,"That's reassuring. What's your typical lead time from order to delivery?"
